S.No,Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC
1,UEFA,Stadiumi Beselidhja,Lezhe,Beselidhja,7000,Albania,ALB
2,UEFA,Stadiumi Flamurtari,Vlore,Flamurtari Vlore,8200,Albania,ALB
3,UEFA,Stadiumi Laci,Laci,KF Laci,5000,Albania,ALB
4,UEFA,Stadiumi Niko Dovana,Durres,Teuta,12040,Albania,ALB
5,UEFA,Stadiumi Selman Stermasi,Tirana,"KF Tirana, Dinamo, Partizani",9500,Albania,ALB
6,UEFA,Stadiumi Skenderbeu,Korce,Skenderbeu,7500,Albania,ALB
7,CAF,Stade 1er Novembre 1954,Tizi Ouzu,JSK,20000,Algeria,ALG
8,CAF,Stade Ahmed Zabana,Oran,MC Oran,40000,Algeria,ALG
9,CAF,Stade Amar Hareche,El Eulma,MCEE,5000,Algeria,ALG
10,CAF,Stade de l'Unite Maghrebine,Bejaia,"MO Bjuia, JSM Bejaia",22000,Algeria,ALG
11,CAF,Stade Mohamed Boumezrag,Chlef,ASO Chlef,17000,Algeria,ALG
12,CAF,Stade Mohamed-Benhaddad,Algiers,RC Kouba,10000,Algeria,ALG
13,CAF,Stade Omar Hamadi,Algiers,USM Alger,12000,Algeria,ALG
14,CAF,Stade Tahar Zoughari,Relizane,RC Relizane,20000,Algeria,ALG
15,CAF,Estadio da Tundavala,Lubango,Sport Lubango e Benfica,20000,Angola,ANG
16,CAF,Estadio de Ombaka,Benguela,Clube 1 de Maio,35000,Angola,ANG
17,CAF,Estadio do Chiazi,Cabinda,FC de Cabinda,20000,Angola,ANG
18,CONMEBOL,El Cementario de los Elefantes,Santa Fe,Colon,32000,Argentina,ARG
19,CONMEBOL,El Gigante de Arroyito,Rosario,Rosario Central,41654,Argentina,ARG
20,CONMEBOL,El Monumental,Buenos Aires,River Plate,61321,Argentina,ARG
21,CONMEBOL,El Nuevo Gasometro,Buenos Aires,San Lorenzo,43494,Argentina,ARG
22,CONMEBOL,Estadio Arquitecto Antonio Etcheverri,Buenos Aires,Club Ferro Caril Oeste,22797,Argentina,ARG
23,CONMEBOL,Estadio Ciudad de La Plata,La Plata,"Estudiantes, Gimnasia",53000,Argentina,ARG
24,CONMEBOL,Estadio del Viaducto,Sarandi,Arsenal FC,16300,Argentina,ARG
25,CONMEBOL,Estadio Diego Armando Maradona,Buenos Aires,AA Argentinos Juniors,24800,Argentina,ARG
26,CONMEBOL,Estadio Jose Amalfitani,Buenos Aires,Velez Sarsfield,49540,Argentina,ARG
27,CONMEBOL,Estadio Libertadores de America,Avellaneda,Independiente,48069,Argentina,ARG
28,CONMEBOL,Estadio Marcelo Bielsa,Rosario,Newell's Old Boys,42000,Argentina,ARG
29,CONMEBOL,Estadio Nestor Diaz Perez,Lanus,CA Lanus,46519,Argentina,ARG
30,CONMEBOL,Estadio Presidente Peron,Avellaneda,Racing Club,42500,Argentina,ARG
31,CONMEBOL,Estadio Tomas Adolfo Duco,Buenos Aires,Huracan,48314,Argentina,ARG
32,CONMEBOL,La Bombonera,Buenos Aires,Boca Juniors,49000,Argentina,ARG
33,UEFA,Alashkert Stadion,Yerevan,Alashkert,6850,Armenia,ARM
34,UEFA,Banants Stadion,Yerevan,Banants,4860,Armenia,ARM
35,UEFA,Hrazdan Stadion,Yerevan,"Ararat, Kilikia",54208,Armenia,ARM
36,UEFA,Republican Stadion,Yerevan,"Pyunik, Uliss",14403,Armenia,ARM
37,AFC,AAMI Park,Melbourne,Melbourne Victory,30050,Australia,AUS
38,AFC,Allianz Stadium,Paddington,"Roosters, Waratahs, Sydney FC",45500,Australia,AUS
39,AFC,Bluetongue Stadium,Gosford,Mariners,20059,Australia,AUS
40,AFC,Cbus Super Stadium,Robina,Gold Coast United,27400,Australia,AUS
41,AFC,Coopers Stadium,Hindmarsh,Adelaide United,17000,Australia,AUS
42,AFC,Hunter Stadium,Newcastle,"Jets, Knights",33000,Australia,AUS
43,AFC,Marvel Stadium,Melbourne,Melbourne Victory,56347,Australia,AUS
44,AFC,Optus Stadium,Perth,"Eagles, Dockers, Western Force",60000,Australia,AUS
45,AFC,Pirtek Stadium,Sydney,WS Wanderers FC,20741,Australia,AUS
46,AFC,Subiaco Oval,Perth,"Eagles, Dockers, Western Force",42922,Australia,AUS
47,AFC,Suncorp Stadium,Brisbane,Brisbane Roar,53223,Australia,AUS
48,UEFA,Allianz Stadion,Vienna,Rapid,28345,Austria,AUT
49,UEFA,BSFZ-Arena,Vienna,Admira Wacker,12000,Austria,AUT
50,UEFA,Cashpoint-Arena,Altach,SCR,8500,Austria,AUT
51,UEFA,Casino-Stadion,Bregenz,Schwarz-Weiﬂ,11112,Austria,AUT
52,UEFA,Fill Metallbau Stadion,Ried,SV Ried,7600,Austria,AUT
53,UEFA,Franz-Fekete-Stadion,Kapfenberg,Kapfenberger SV,12000,Austria,AUT
54,UEFA,Fuﬂballakademie Burgenland,Mattersburg,SV Mattersburg,2500,Austria,AUT
55,UEFA,Generali-Arena,Vienna,Austria,13500,Austria,AUT
56,UEFA,Gernot Langes Stadion,Wattens,WSG Wattens,5200,Austria,AUT
57,UEFA,Hohe Warte,Vienna,First Vienna,6000,Austria,AUT
58,UEFA,Lavanttal-Arena,Wolfsberg,WAC,7300,Austria,AUT
59,UEFA,Linzer Stadion,Linz,Blau-Weiﬂ,21005,Austria,AUT
60,UEFA,Merkur Arena,Graz,"Grazer AK, SK Sturm",15400,Austria,AUT
61,UEFA,MyPhone Austria Stadion,Salzburg,Austria,1566,Austria,AUT
62,UEFA,NV Arena,Sankt Polten,SKN St Polten,8000,Austria,AUT
63,UEFA,Pappelstadion,Mattersburg,SV Mattersburg,18000,Austria,AUT
64,UEFA,Red Bull Arena,Salzburg,Salzburg,31895,Austria,USA
65,UEFA,Sonnenseestadion,Ritzing,"SC Ritzing, SC Eisenstadt",5000,Austria,AUT
66,UEFA,Sportplatz Lend,Hall in Tirol,SV Hall,2000,Austria,AUT
67,UEFA,Stadion Donawitz,Leoben,DSV Leoben,6000,Austria,AUT
68,UEFA,Stadion Schuberth,Melk,SC Melk,2500,Austria,AUT
69,UEFA,Stadion Tivoli NEU,Innsbruck,Wacker,16008,Austria,AUT
70,UEFA,TGW-Arena,Pasching,"FC Pasching, LASK",7870,Austria,AUT
71,UEFA,Worthersee Stadion,Klagenfurt am Worthersee,SK Austria,31957,Austria,AUT
72,UEFA,Habil Xlilov Stadionu,Imishli,MKT-Araz,8500,Azerbaijan,AZE
73,UEFA,fa  Stadionu,Baku,"Inter, Olimpik, Standard",7535,Azerbaijan,AZE
74,UEFA,Tofiq Bkhramov Stadionu,Baku,"Neftchi, FK Baku",31100,Azerbaijan,AZE
75,AFC,Bangabandhu National Stadium,Dhaka,"Brothers Union, Mohammedan SC, Abahani Ltd",36000,Bangladesh,BAN
76,UEFA,Borisov Arena,Borisov,BATE,13121,Belarus,BLR
77,UEFA,Neman Stadion,Grodno,Neman,8800,Belarus,BLR
78,UEFA,Stadion Brestskiy,Brest,Dynamo,10169,Belarus,BLR
79,UEFA,Stadion Dinama,Minsk,Dinamo,34000,Belarus,BLR
80,UEFA,Stadion Dinamo-Yuni,Minsk,Dinamo,4500,Belarus,BLR
81,UEFA,Stadion Horodskiy,Borisov,BATE,5402,Belarus,BLR
82,UEFA,Stadion Torpedo,Zhodino,Torpedo-BelAZ,6542,Belarus,BLR
83,UEFA,Stadion Torpedo,Minsk,Torpedo Minsk,5200,Belarus,BLR
84,UEFA,Stadion Traktor,Minsk,"MTZ-RIPO, Zvezda-VA-BGU",17586,Belarus,BLR
85,UEFA,AFAS Stadion,Mechelen,KV Mechelen,16672,Belgium,BEL
86,UEFA,Albertparkstadion,Ostenda,KV Oostende,8000,Belgium,BEL
87,UEFA,Bosuil Stadion,Antwerp,Royal FC,15975,Belgium,BEL
88,UEFA,Constant Vanden Stock Stadion,Brussels,Anderlecht,28063,Belgium,BEL
89,UEFA,Daknamstadion,Lokeren,SC Lokeren,12000,Belgium,BEL
90,UEFA,De Leunen,Geel,ASV Geel,10524,Belgium,BEL
91,UEFA,De Pluimen,Dikmsuide,KSV Diksmuide,2500,Belgium,BEL
92,UEFA,Edmond Machtens-Stadion,Sint-Jans-Molenbeek,FC Brussels,15266,Belgium,BEL
93,UEFA,Freethiel,Beveren,Waasland-Beveren,13290,Belgium,BEL
94,UEFA,Gemeentelijk Parkstadion,Boom,Rupel Boom,9450,Belgium,BEL
95,UEFA,Ghelamco Arena,Gent,KAA Gent,19999,Belgium,BEL
96,UEFA,Henri Houtsaeger Stadion,Koksijde,KVVC,2500,Belgium,BEL
97,UEFA,Herman Vanderpoortenstadion,Lier,Lierse,15500,Belgium,BEL
98,UEFA,Jan Breydel Stadion,Brugge,"Club Brugge, Cercle Brugge",29022,Belgium,BEL
